i,j,k,accuracy
0,0,10,20.0
0,1,9,60.0
0,2,8,60.0
0,3,7,63.3333333333
0,4,6,63.3333333333
0,5,5,63.3333333333
0,6,4,63.3333333333
0,7,3,63.3333333333
0,8,2,63.3333333333
0,9,1,63.3333333333
0,10,0,20.0
1,0,9,20.0
1,1,8,60.0
1,2,7,56.6666666667
1,3,6,63.3333333333
1,4,5,63.3333333333
1,5,4,66.6666666667
1,6,3,66.6666666667
1,7,2,66.6666666667
1,8,1,63.3333333333
1,9,0,66.6666666667
2,0,8,20.0
2,1,7,56.6666666667
2,2,6,63.3333333333
2,3,5,63.3333333333
2,4,4,63.3333333333
2,5,3,66.6666666667
2,6,2,66.6666666667
2,7,1,63.3333333333
2,8,0,66.6666666667
3,0,7,20.0
3,1,6,53.3333333333
3,2,5,60.0
3,3,4,63.3333333333
3,4,3,66.6666666667
3,5,2,66.6666666667
3,6,1,63.3333333333
3,7,0,66.6666666667
4,0,6,20.0
4,1,5,60.0
4,2,4,60.0
4,3,3,60.0
4,4,2,63.3333333333
4,5,1,66.6666666667
4,6,0,66.6666666667
5,0,5,20.0
5,1,4,53.3333333333
5,2,3,66.6666666667
5,3,2,63.3333333333
5,4,1,66.6666666667
5,5,0,66.6666666667
6,0,4,20.0
6,1,3,53.3333333333
6,2,2,63.3333333333
6,3,1,63.3333333333
6,4,0,63.3333333333
7,0,3,20.0
7,1,2,60.0
7,2,1,63.3333333333
7,3,0,63.3333333333
8,0,2,20.0
8,1,1,56.6666666667
8,2,0,60.0
9,0,1,20.0
9,1,0,53.3333333333
10,0,0,20.0
